"hog","direction","regulator_classes","target_occurrences","other_occurrences","target_prevalence","other_prevalence","target_minus_other","n_target_anchors","n_target_anchors_3_of_4","n_pairs_target_higher","null_target_mean","fold_over_edge_swap","p_edge_swap_target","p_edge_swap_contrast","q_edge_swap_target","q_edge_swap_contrast","bdis_gene","best_arabi_gene","best_arabi_defline","best_rice_gene","best_rice_defline"
"HOG:0025149","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,3.17635270541082,0,1,0.686,1,1,"Bradi1g26940.v3.2","AT5G44800","chromatin remodeling 4","LOC_Os07g31450","CHR4/MI-2-LIKE, putative, expressed"
"HOG:0004112","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,2.73346693386774,0,1,0.688,1,1,"Bradi2g38030.v3.2; Bradi2g62697.v3.2","AT5G60410","DNA-binding protein with MIZ/SP-RING zinc finger, PHD-finger and SAP domain","LOC_Os05g03430","ATSIZ1/SIZ1, putative, expressed"
"HOG:0028819","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,2.63927855711423,0,1,0.69,1,1,"Bradi1g27170.v3.2","AT3G16940","calmodulin binding;transcription regulators","LOC_Os07g30774","calmodulin-binding transcription activator 5, putative, expressed"
"HOG:0008658","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,0.949899799599198,0,1,0.696,1,1,"Bradi4g32737.v3.2","AT4G40060","homeobox protein 16","LOC_Os09g29460","homeobox associated leucine zipper, putative, expressed"
"HOG:0024316","perennial","any_regulator;protein_kinase",3,3,0.09375,0.09375,0,3,0,1,1.50901803607214,1.98804780876494,0.174,0.698,1,1,"Bradi1g67050.v3.2","AT2G35620","Leucine-rich repeat protein kinase family protein","LOC_Os03g16010","BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1 precursor, putative, expressed"
"HOG:0031321","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,6.13226452905812,0,1,0.702,1,1,"Bradi4g22180.v3.2","AT4G31390","Protein kinase superfamily protein","LOC_Os11g11000","ELMO/CED-12 family protein, putative, expressed"
"HOG:0011316","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.97394789579158,0,1,0.704,1,1,"Bradi3g33440.v3.2","","","LOC_Os10g41260","MYB family transcription factor, putative, expressed"
"HOG:0032142","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,2.56312625250501,0,1,0.716,1,1,"Bradi3g33190.v3.2","AT1G02080","transcription regulators","LOC_Os10g40780","CCR4-Not complex component, Not1domain containing protein, expressed"
"HOG:0020504","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.98997995991984,0,1,0.734,1,1,"Bradi1g17810.v3.2","","","LOC_Os07g48090","CAMK_KIN1/SNF1/Nim1_like.30 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"HOG:0018223","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,0.0120240480961924,0,1,0.736,1,1,"Bradi2g02100.v3.2","","","LOC_Os01g04020","AP2 domain containing protein, expressed"
"HOG:0032307","perennial","any_regulator;protein_kinase",0,1,0,0.03125,-0.03125,0,0,0,6.07414829659319,0,1,0.736,1,1,"Bradi1g41780.v3.2; Bradi2g15317.v3.2; Bradi2g16337.v3.2; Bradi2g36470.v3.2; Bradi2g44350.v3.2; Bradi2g45870.v3.2","AT2G42880; AT5G19010","MAP kinase 20; mitogen-activated protein kinase 16","LOC_Os06g26340; LOC_Os05g05160; LOC_Os01g43910; LOC_Os01g47530","CGMC_MAPKCMGC_2.10 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed; CGMC_MAPKCGMC_2.1 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed; CGMC_MAPKCMGC_2.4 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed; CGMC_MAPKCMGC_2.6 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed"
"HOG:0020291","perennial","any_regulator;protein_kinase",4,6,0.125,0.1875,-0.0625,3,0,1,2.93186372745491,1.36431989063568,0.342,0.746,1,1,"Bradi1g45040.v3.2","","","LOC_Os06g12590","protein kinase, putative, expressed"
"HOG:0022231","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,0.336673346693387,0,1,0.748,1,1,"Bradi4g31040.v3.2","","","LOC_Os09g26420","AP2 domain containing protein, expressed"
"HOG:0027351","perennial","any_regulator;protein_kinase",8,10,0.25,0.3125,-0.0625,5,1,2,3.79759519038076,2.1065963060686,0.026,0.754,0.343777777777778,1,"Bradi1g43097.v3.2; Bradi3g56517.v3.2; Bradi4g25645.v3.2","AT3G13290","varicose-related","LOC_Os06g19660; LOC_Os02g49090","WD domain, G-beta repeat domain containing protein, expressed"
"HOG:0032593","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,7.15230460921844,0,1,0.754,1,1,"Bradi2g17660.v3.2","AT1G68830","STT7 homolog STN7","LOC_Os05g47560","serine/threonine-protein kinase SNT7, chloroplast precursor, putative, expressed"
"HOG:0032141","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,3.14428857715431,0,1,0.758,1,1,"Bradi1g78550.v3.2","AT1G02080","transcription regulators","",""
"HOG:0032488","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.77955911823647,0,1,0.762,1,1,"Bradi2g19590.v3.2","AT3G46930","Protein kinase superfamily protein","LOC_Os05g44290","protein kinase domain containing protein, expressed"
"HOG:0023487","perennial","any_regulator;ubiquitin_transferase",0,0,0,0,0,0,0,0,1.28456913827655,0,1,0.764,1,1,"Bradi3g09000.v3.2","AT1G29340","plant U-box 17","LOC_Os02g13960","spotted leaf 11, putative, expressed"
"HOG:0016703","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,2.73346693386774,0,1,0.772,1,1,"Bradi1g62320.v3.2","AT3G57300","INO80 ortholog","LOC_Os03g22900","SNF2 family N-terminal domain containing protein, expressed"
"HOG:0021140","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,1.13426853707415,0,1,0.774,1,1,"Bradi2g37800.v3.2","AT2G28550","related to AP2.7","LOC_Os05g03040","AP2 domain containing protein, expressed"
"HOG:0025959","perennial","any_regulator;gene_expression_regulator;transcription_regulator;chromatin_regulator",0,0,0,0,0,0,0,0,4.34268537074148,0,1,0.78,1,1,"Bradi3g03330.v3.2","AT1G16710","histone acetyltransferase of the CBP family 12","LOC_Os02g04490","histone acetyltransferase HAC1, putative, expressed"
"HOG:0029398","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.16833667334669,0,1,0.79,1,1,"Bradi4g08410.v3.2","AT2G32800","protein kinase family protein","LOC_Os11g25860","protein Kinase, putative, expressed"
"HOG:0032608","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.02404809619238,0,1,0.79,1,1,"Bradi5g09210.v3.2","AT3G52890","KCBP-interacting protein kinase","",""
"HOG:0032898","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,1,0,0.03125,-0.03125,0,0,0,3.3687374749499,0,1,0.796,1,1,"Bradi1g49497.v3.2","AT4G25515","SEUSS-like 3","LOC_Os06g03600","transcriptional corepressor SEUSS, putative, expressed"
"HOG:0028434","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.19038076152305,0,1,0.798,1,1,"Bradi1g24567.v3.2","AT2G20850","STRUBBELIG-receptor family 1","LOC_Os07g37810","STRUBBELIG-RECEPTOR FAMILY 1 precursor, putative, expressed"
"HOG:0024535","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.14028056112224,0,1,0.8,1,1,"Bradi2g31100.v3.2","AT1G07470","Transcription factor IIA, alpha/beta subunit","LOC_Os05g22670","transcription factor IIA large subunit, putative, expressed"
"HOG:0006186","perennial","any_regulator;protein_kinase",1,0,0.03125,0,0.03125,1,0,1,2.08016032064128,0.480732177263969,0.884,0.802,1,1,"Bradi1g25180.v3.2","AT1G61610","S-locus lectin protein kinase family protein","LOC_Os07g36590","serine/threonine-protein kinase receptor precursor, putative, expressed"
"HOG:0007888","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,3.60921843687375,0,1,0.808,1,1,"Bradi3g60210.v3.2","AT5G57610","Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain","LOC_Os02g54510","protein kinase domain containing protein, expressed"
"HOG:0025823","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.60320641282565,0,1,0.81,1,1,"Bradi1g20390.v3.2","AT1G14000","VH1-interacting kinase","LOC_Os07g43900","protein kinase domain containing protein, expressed"
"HOG:0026549","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,5.22645290581162,0,1,0.814,1,1,"Bradi1g32330.v3.2; Bradi3g51757.v3.2","AT5G52660","Homeodomain-like superfamily protein","LOC_Os06g45840; LOC_Os02g45670","MYB transcription factor, putative, expressed; myb-like DNA-binding domain containing protein, expressed"
"HOG:0025908","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.0501002004008,0,1,0.818,1,1,"Bradi1g23350.v3.2","AT5G48150","GRAS family transcription factor","LOC_Os07g39470","gibberellin response modulator protein, putative, expressed"
"HOG:0028703","perennial","any_regulator;ubiquitin_transferase",0,0,0,0,0,0,0,0,1.68537074148297,0,1,0.82,1,1,"Bradi1g67280.v3.2","AT1G45976","S-ribonuclease binding protein 1","LOC_Os03g15730","S-RNase-binding protein, putative, expressed"
"HOG:0022337","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,1.56312625250501,0,1,0.828,1,1,"Bradi1g11090.v3.2","AT2G01570","GRAS family transcription factor family protein","LOC_Os03g49990","GRAS family transcription factor domain containing protein, expressed"
"HOG:0017733","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",1,3,0.03125,0.09375,-0.0625,1,0,1,1.8937875751503,0.528042328042328,0.84,0.832,1,1,"Bradi4g04720.v3.2","AT3G62420","basic region/leucine zipper motif 53","LOC_Os12g37415","expressed protein"
"HOG:0025011","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.29859719438878,0,1,0.834,1,1,"Bradi4g40160.v3.2","AT5G49780","Leucine-rich repeat protein kinase family protein","LOC_Os12g10740","leucine-rich repeat family protein, putative, expressed"
"HOG:0025826","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.66933867735471,0,1,0.838,1,1,"Bradi3g48360.v3.2","AT3G59830","Integrin-linked protein kinase family","LOC_Os02g39560","non-receptor tyrosine kinase spore lysis A, putative, expressed"
"HOG:0010723","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,2,0,0.0625,-0.0625,0,0,0,2.91182364729459,0,1,0.838,1,1,"Bradi1g47367.v3.2","AT2G25170","chromatin remodeling factor CHD3 (PICKLE)","LOC_Os06g08480","CHD3-type chromatin-remodeling factor PICKLE, putative, expressed"
"HOG:0026208","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.44288577154309,0,1,0.846,1,1,"Bradi4g02900.v3.2","AT3G24715","Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain","",""
"HOG:0028306","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.63527054108216,0,1,0.846,1,1,"Bradi4g44427.v3.2","AT3G51630","with no lysine (K) kinase 5","LOC_Os11g02305","expressed protein"
"HOG:0020499","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.35671342685371,0,1,0.85,1,1,"Bradi1g38340.v3.2","","","LOC_Os06g35160","CAMK_KIN1/SNF1/Nim1_like.26 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"HOG:0032304","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.22044088176353,0,1,0.852,1,1,"Bradi4g22760.v3.2","AT1G53570","mitogen-activated protein kinase kinase kinase 3","LOC_Os11g10100","STE_MEKK_ste11_MAP3K.3 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"HOG:0031142","perennial","any_regulator;protein_kinase",0,3,0,0.09375,-0.09375,0,0,0,1.19438877755511,0,1,0.854,1,1,"Bradi1g28280.v3.2","AT5G24360","inositol requiring 1-1","LOC_Os07g28820","ribonuclease 2-5A family protein, expressed"
"HOG:0011645","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,2.71142284569138,0,1,0.858,1,1,"Bradi1g10530.v3.2","AT3G17750","Protein kinase superfamily protein","LOC_Os03g51020","expressed protein"
"HOG:0025163","perennial","any_regulator;protein_kinase",0,1,0,0.03125,-0.03125,0,0,0,1.82565130260521,0,1,0.86,1,1,"Bradi1g34700.v3.2","AT3G18040","MAP kinase 9","LOC_Os06g49430","CGMC_MAPKCMGC_2.11 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases, expressed"
"HOG:0027460","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,2.20040080160321,0,1,0.862,1,1,"Bradi1g62640.v3.2","AT1G09060","Zinc finger, RING-type;Transcription factor jumonji/aspartyl beta-hydroxylase","LOC_Os03g22540","jmjC domain containing protein, expressed"
"HOG:0029907","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,3.38476953907816,0,1,0.87,1,1,"Bradi3g35850.v3.2; Bradi3g56180.v3.2","AT3G01470","homeobox 1","LOC_Os08g32085; LOC_Os02g49700","expressed protein; homeobox associated leucine zipper, putative, expressed"
"HOG:0018708","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,0,0,0,0,0,0,0,2.687374749499,0,1,0.88,1,1,"Bradi1g11800.v3.2","AT5G12840","nuclear factor Y, subunit A1","LOC_Os03g48970","nuclear transcription factor Y subunit, putative, expressed"
"HOG:0016398","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",1,4,0.03125,0.125,-0.09375,1,0,1,1.75350701402806,0.570285714285714,0.846,0.882,1,1,"Bradi1g46690.v3.2; Bradi3g60120.v3.2","AT3G14230","related to AP2 2","LOC_Os06g09390; LOC_Os02g54160","AP2 domain containing protein, expressed"
"HOG:0028849","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",0,1,0,0.03125,-0.03125,0,0,0,2.33867735470942,0,1,0.884,1,1,"Bradi3g58310.v3.2","AT1G77180","chromatin protein family","LOC_Os02g52250","SKIP/SNW domain containing protein, expressed"
"HOG:0028316","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,0,0,0,0,0,0,0,3.19839679358717,0,1,0.892,1,1,"Bradi3g16515.v3.2","AT1G01060","Homeodomain-like superfamily protein","LOC_Os08g06110","MYB family transcription factor, putative, expressed"
"HOG:0025949","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,3.60320641282565,0,1,0.9,1,1,"Bradi1g42257.v3.2","AT5G14720","Protein kinase superfamily protein","LOC_Os06g29120","STE_PAK_Ste20_STLK.5 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
"HOG:0012210","perennial","any_regulator;protein_kinase",7,11,0.21875,0.34375,-0.125,5,0,1,2.75951903807615,2.53667392883079,0.01,0.912,0.17,1,"Bradi2g26547.v3.2","AT5G13530","protein kinases;ubiquitin-protein ligases","LOC_Os05g32570","RING E3 ligase protein, putative, expressed"
"HOG:0006360","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,2,0,0.0625,-0.0625,0,0,0,2.15831663326653,0,1,0.916,1,1,"Bradi2g20517.v3.2","AT5G04290","kow domain-containing transcription factor 1","LOC_Os05g43060","retrotransposon, putative, centromere-specific, expressed"
"HOG:0032299","perennial","any_regulator;protein_kinase",0,3,0,0.09375,-0.09375,0,0,0,3.86973947895792,0,1,0.926,1,1,"Bradi1g10660.v3.2; Bradi2g59127.v3.2; Bradi3g59820.v3.2","AT2G01830; AT1G27320","CHASE domain containing histidine kinase protein; histidine kinase 3","LOC_Os03g50860; LOC_Os01g69920; LOC_Os02g50480","histidine kinase, putative, expressed"
"HOG:0023057","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",3,6,0.09375,0.1875,-0.09375,3,0,1,2.56713426853707,1.16861826697892,0.48,0.936,1,1,"Bradi1g52407.v3.2","","","LOC_Os06g01170","PHD-finger domain containing protein, expressed"
"HOG:0020290","perennial","any_regulator;protein_kinase",0,0,0,0,0,0,0,0,1.88376753507014,0,1,0.956,1,1,"Bradi3g08260.v3.2","AT5G11850","Protein kinase superfamily protein","LOC_Os02g12810","protein kinase domain containing protein, expressed"
"HOG:0024562","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",11,15,0.34375,0.46875,-0.125,7,0,1,5.04408817635271,2.18077075883989,0.016,0.958,0.238,1,"Bradi2g28680.v3.2","AT3G51800","metallopeptidase M24 family protein","LOC_Os05g28280","peptidase, M24 family protein, putative, expressed"
"HOG:0012578","perennial","any_regulator;protein_kinase",2,7,0.0625,0.21875,-0.15625,2,0,0,2.1563126252505,0.927509293680297,0.642,0.974,1,1,"Bradi2g43580.v3.2","AT1G71410","ARM repeat superfamily protein","LOC_Os01g42950","protein kinase family protein, putative, expressed"
"HOG:0020382","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",9,14,0.28125,0.4375,-0.15625,6,0,1,3.5310621242485,2.54880817253121,0.004,0.986,0.0793333333333333,1,"Bradi2g47940.v3.2","AT4G29730","nucleosome/chromatin assembly factor group C5","LOC_Os01g51300","WD domain, G-beta repeat domain containing protein, expressed"
"HOG:0006124","perennial","any_regulator;protein_kinase",5,9,0.15625,0.28125,-0.125,3,1,0,2.70541082164329,1.84814814814815,0.134,0.988,1,1,"Bradi1g63320.v3.2","AT3G51550","Malectin/receptor-like protein kinase family protein","LOC_Os01g56330","TKL_IRAK_CrRLK1L-1.5 - The CrRLK1L-1 subfamily has homology to the CrRLK1L homolog, expressed"
"HOG:0028862","perennial","any_regulator;gene_expression_regulator;transcription_regulator;dna_binding_tf",0,3,0,0.09375,-0.09375,0,0,0,1.24649298597194,0,1,0.988,1,1,"Bradi3g54720.v3.2","AT3G54810","Plant-specific GATA-type zinc finger transcription factor family protein","LOC_Os02g56250","GATA zinc finger domain containing protein, expressed"
"HOG:0025924","perennial","any_regulator;gene_expression_regulator;transcription_regulator",0,3,0,0.09375,-0.09375,0,0,0,1.30861723446894,0,1,0.992,1,1,"Bradi3g55060.v3.2","AT2G32700","LEUNIG_homolog","LOC_Os02g56880","transcriptional corepressor LEUNIG, putative, expressed"
"HOG:0016706","perennial","any_regulator;gene_expression_regulator;chromatin_regulator",2,12,0.0625,0.375,-0.3125,2,0,0,3.19038076152305,0.626884422110553,0.872,1,1,1,"Bradi2g12950.v3.2; Bradi2g35740.v3.2","AT3G06400","chromatin-remodeling protein 11","ChrUn.fgenesh.gene.85; LOC_Os05g05780","expressed protein; chromatin-remodeling complex ATPase chain, putative, expressed"
